example_id,customer_text,response_text,intent,escalate,label_notes
44,@AppleSupport iOS 11.1 sucks didn’t fix my major battery drain :( it goes down 6-10% at a time come on fix this I am using iPhone SE,"@636507 We know how important your iPhone's battery life is. DM us, and we'll look into what's going on. https://t.co/GDrqU22YpT",battery_power,false,
45,"@AppleSupport MacBook&gt; App SignIn doesn't work. Says my password is wrong. Changed it, unrecognised error occurs&gt;&gt;says to try again later. Any guesses?",@355838 We'll assist or get you to a team that can. Has your Apple ID password been changed recently? Does the Mac share that password?,account_security,true,Apple ID password rejected on Mac; possible account issue
46,@AppleSupport how can I purchase applecare for my new iPhone ?,@486266 We can help with purchasing AppleCare here: https://t.co/brpZQUaYqu,purchase_tradein,false,How to purchase AppleCare
47,"@AppleSupport the iPhone X battery dies so fast, I had 100% and it’s nearly run out 1 hour later. L.","@677394 We're very happy to look into your battery with you. Please let us know which version of iOS 11 is installed on your new iPhone X. If the version is not iOS 11.1.1, please follow these instructions to update it: https://t.co/oKZOdSPLR1",battery_power,false,
48,The latest @115858 iOS update broke my iPad… now no screen rotation. Am very sad. @AppleSupport,@297086 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,software_update,false,iOS update broke iPad screen rotation
49,"@AppleSupport Hi, the iTunes Connect web site (once logged in) is currently broken. Is the team aware about that ?","@682655 We'd be happy to look into this with you. What's happening when you log in? Which country are you located in, and what device are you trying to log in on?",app_service,true,iTunes Connect broken after login; developer tool issue
50,@AppleSupport Finder/Documents folder says iCloud storage is full but it clearly isn't. https://t.co/dFaozbOHHR,@123845 Let's take a look into this together. Send us a DM with the version of macOS you're on and we'll go from there. https://t.co/GDrqU22YpT,icloud_data,false,Finder shows iCloud full incorrectly
51,"I’ve found my Apple ID is locked for unknown security issue. I’m abroad and can’t receive SMS which is required for unlock ID. I’m stuck.

@AppleSupport @115858",@792707 Let's reach out to our Account Security team for help with this issue. https://t.co/p9bPZEcl5d,account_security,true,Apple ID locked abroad; can't receive SMS for 2FA; access blocked
52,"My Apple TV is still broken and when I went to @115858 I was told to try and go buy another cord at Best Buy to restore it for the second time and that it's ""not an apple thing"".  You're kidding right",@259017 We want to get you the help you need for your Apple TV. Please reach out to our Apple TV experts here: https://t.co/IBIY3vMgPj,hardware_device,true,Apple TV still broken after multiple support attempts
53,"@AppleSupport My iPhone keeps prompting me to update to iOS 11.1 Public Beta, but I removed the profile and unenrolled my iPhone?",@431727 We'd like to help. Did you uninstall the beta software using the steps here? https://t.co/rEEDcjXdhp Let us know in DM. https://t.co/GDrqU22YpT,software_update,false,iPhone keeps prompting for iOS 11.1 Public Beta after unenrolling
54,"@AppleSupport hola buenas, quería saber cómo dar de baja el servicio de Apple Music.",@379264 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3w3RGR or join https://t.co/OczyRxpjG0,app_service,false,How to cancel Apple Music subscription (Spanish)
55,"@AppleSupport My Apple ID is set in US right now, I don’t know what’s the problem. 🤦🏽‍♂️","@701324 That's completely understandable. Since you're still having issues, reach out to our iTunes Store experts from the link provided. They'll be happy to work with you to resolve what's going on. https://t.co/SDIe7UiyJN",account_security,false,Apple ID region issue affecting store access
56,"@AppleSupport There is no option to clear all, only older ones. The biggest issue is the blank lock screen which shows no clock or anything except your wallpaper. Have to reboot iphone","@693833 OK, if you press deeply on the ""x"" to clear the notifications, do you see an option to clear all?",software_update,false,Blank lock screen/no clock; notification issue after update
57,"@AppleSupport my FaceTime &amp;  iMessage won’t activate, I signed in and I’ve been waiting for a while.",@316439 Let's work to get this resolved. Check out the steps in this article for further assistance: https://t.co/jhvYu3nzpA,app_service,false,FaceTime and iMessage won't activate
58,"@AppleSupport Specifically, the attached photos show how the songs are split. https://t.co/LGP9BQ9aKd","@732330 Thanks for the helpful screenshots. We’d like to see what’s going on with this album. Do you see this album in the iTunes Store app &gt; More tab &gt; Purchased &gt; Music? Also, does this continue after exiting out of the Music app and opening it again?",app_service,false,Music album incorrectly split in Music app
59,@AppleSupport my daughters locked herself out of her iPod can you help me get back into it please? https://t.co/of9n9WWLwp,"@612044 We'd be happy to help out. Have you given these steps a try? https://t.co/yFrcT36syx If that doesn't work, send us a DM. https://t.co/GDrqU22YpT",device_access,true,Child locked out of iPod Touch
60,"@AppleSupport I basically try to delete the photo, and it doesn’t delete. It sometimes multiplies.",@311373 Tap Settings &gt; Your Name &gt; iCloud &gt; Photos. Is iCloud Photo Library enabled there? Send us a DM and we'll help further. https://t.co/GDrqU22YpT,icloud_data,false,Photo won't delete and is multiplying in iCloud
61,@AppleSupport I updated yesterday &amp; now I can’t use Siri when locked. I turn it on in settings but it keeps turning itself off. Help!,"@289533 We'd like to look into this with you. To get started, DM us with which device you're using. We'll continue there. https://t.co/GDrqU22YpT",software_update,false,Siri when locked disabled itself after update
62,@AppleSupport Is there any reason I wouldn't be able to restore a backup from my up to date 7+ to my new iphone X? Using iTunes on a PC.,"@681212 The iPhone X is exciting, and we're glad to do all we can to help. The steps here will help with restoring your backup through iTunes from your iPhone 7 Plus to your iPhone X: https://t.co/0zHmsKhraO",general_troubleshooting,false,Restoring iPhone 7+ backup to new iPhone X via iTunes
63,"@AppleSupport question, when I charge my AirPods, sometimes only the right ear piece charges while the left one stays dead/changes slow. https://t.co/zoY2Wfmsbf",@193955 Let's look into this together.  Is the mic status in Settings &gt; Bluetooth &gt; AirPods &gt; Microphone set to one side?,hardware_device,false,AirPods uneven charging – left earbud issue
64,@AppleSupport I’ve removed iOS 11 Beta profile and still getting this pop up every time I unlock my phone. Currently on iOS 11.2 Please help https://t.co/v7Xt12xLFQ,@185759 Let's take a look at what's going on. Send us a DM to start: https://t.co/GDrqU22YpT,software_update,false,iOS Beta profile removed but still getting popup
65,My phone has been on the charger for over an hour and it’s losing battery percentage! Wtf @115858 🤦🏻‍♀️,"@700249 Let's find out what's going on. Do you know what version of the iOS is on the device?  If not, you can check under Settings &gt; General &gt; About &gt; Version. 

We'll help with battery life.",battery_power,false,
66,@AppleSupport where would be the best place to report a scam email? https://t.co/8I6lWqFJog,@623853 Thanks for reaching out. This article will help you identify and report any suspicious communications: https://t.co/LNMCdqt6fD,account_security,true,Reporting a scam email; security concern
67,"@AppleSupport Nothing different even on standby the battery is draining faster than before. Location, Bluetooth off and no gaming as well. Just wifi or 4g","@366116 Look in the App Store, if there are any updates available, go ahead and install them. Then join us in DM to continue. https://t.co/GDrqU22YpT",battery_power,false,
68,@AppleSupport @176635 is there any official site to buy #Iphone through online site?,@508332 We want to help. Please tell us more about what you're trying to do via DM. https://t.co/GDrqU22YpT,purchase_tradein,false,Where to buy iPhone online
69,"@AppleSupport I break my twitter boycott to note to you that since the root patch last week the time on my Mac Mini has been horribly out of sync &amp; not syncing, even though it is set to. This morning ntpdate returned """"step time server 17.253.24.253 offset -151.277425 sec""!!","@258642 We'd love to take a look at this with you. To confirm, is it set to ""Set Automatically"" in System Preferences &gt; Date and Time? Let us know in DM. https://t.co/GDrqU22YpT",software_update,false,Mac Mini time out-of-sync after root patch
70,"@AppleSupport I don’t have a membership, I just want to share my music bought in iTunes.","@766374 If you'd like to share your purchased music with other family member's then you'd want to set up Family Sharing, you can do that by following the steps here: https://t.co/ERCiFrN6Q1",app_service,false,Sharing iTunes purchased music with family
71,@AppleSupport my iPhone x touch screen doesn’t work when it’s cold outside. Any ideas? This is my second iPhone x related to this issue.,@663546 This is unexpected. We're here to help. Please DM us what country you are located in and we'll look into this with you further. https://t.co/GDrqU22YpT,hardware_device,true,iPhone X touchscreen unresponsive in cold; second unit same issue
72,"@AppleSupport Is it normal after installing ios11 that all apple apps such as itunes, music and apppstore won’t even open?",@289409 You should be able to open them. Has the device been restarted? Are you running iOS 11.0.2?,software_update,false,Apple apps won't open after installing iOS 11
73,"@AppleSupport Any idea when the @ATT activation servers will stop shitting themselves, or do I keep mashing Try Again &amp; hope? #iphoneXlaunch",@476344 iPhone X is so exciting and the activation servers know it. Thank you for your patience. Keep trying. https://t.co/ywHIZGN4Ac,device_access,false,AT&T activation servers failing at iPhone X launch
74,@AppleSupport My phone keeps crashing and turning off even when there's loads of battery left.  It won't restart till I plug it in. Help?,@548504 We want you to be able to rely on your iPhone and we're here to help. Please DM us about this and we'll go from there. https://t.co/GDrqU22YpT,battery_power,true,Phone crashing/turning off despite battery charge; serious hardware concern
75,"@AppleSupport hi, why cant i add my debit card to my apple id as it always appears “please contact iTunes support to complete this transaction.” Please help","@686132 Thanks for reaching out to us today. We received your DM, and we'll follow up there to see how we can help. Be on the lookout for a response shortly. https://t.co/GDrqU22YpT",purchase_tradein,true,Debit card rejected for Apple ID purchase; needs account investigation
76,"@AppleSupport I am unable to enter my password into my 2015 MACBOOK pro. I get ""unknown error occurred"" code. What to do?","@796900 Let's take a look at this together. You aren't able to log in to your user on your Mac, right? We'd like to continue the conversation in DM. https://t.co/GDrqU22YpT",device_access,true,Unknown error logging into MacBook Pro; locked out
77,"@116333 @115858 iPhone battery at 100% 20 minutes ago, then 5 minutes later, 43%, 15 minutes later have to plug back at 4% #WTF #iOS11Fail",@604044 We can help take a look into your iPhone battery life. Send us a DM to let us know if you're on the latest update - iOS 11.0.2. https://t.co/GDrqU22YpT,battery_power,false,
78,"Hey there @AppleSupport :D I own an Apple Music membership since forever, but I cannot access it at all. @115948 is simply not there I couldn’t even find it in the settings :( HELP me fix it PLEASE! ☹️ https://t.co/iFrEh9cxq8","@696608 We can help out. Do you know what version of iOS is on the device?  If not, you can check under Settings &gt; General &gt; About &gt; Version. Message us back in DM and we'll go from there. https://t.co/GDrqU22YpT",app_service,false,Apple Music membership inaccessible; app missing
79,@AppleSupport I’m still unable to change my Apple ID from https://t.co/xvL3ugX1Kp to https://t.co/oT9ReP5yXv. I want to use my alias address https://t.co/XySlqjAcQs,@125899 We want to help out. Let's take a look here: https://t.co/xuZEqdPMFW,account_security,false,Can't change Apple ID email address
80,Hey @115858! I’ve tried several times over the past few months to get my Apple ID reset but never receive email/phone notification. Pls help!,@467480 We've got a team of specialists who can best assist with that. Connect with them here: https://t.co/UJm15vmMM2,account_security,true,Apple ID reset repeatedly fails; no email/phone notification
81,"@AppleSupport @115858 

I️ hope there will be a fix to the letter “I” problem soon in iOS 11.1.",@595570 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,software_update,false,iOS 11.1 autocorrect 'I' character bug
82,@AppleSupport I have an iPhone 6 and I don’t have portrait or live music hero when this phone came out I thaught they advertised the Live Photo upset 😂,@330646 Hi! Live Photos are available on the iPhone 6s and later. Find out more here: https://t.co/C3E4kiTqdx,hardware_device,false,iPhone 6 missing Live Photos/Portrait mode feature inquiry
83,@AppleSupport the Bluetooth stays ON even after turning it OFF on the short cut swipe up screen. Every time the phone is re-started too the Bluetooth is self activated. Please address this issue as it’s draining out the phone’s battery. #iPhone6s #batteryissues #Bluetooth,"@739939 We can help. In order to disable Bluetooth, you'll want to turn it off from Settings &gt; Bluetooth. Managing Bluetooth from Control Center will only disconnect from the Bluetooth device. Read more about that here: https://t.co/G7BHuQnDS6",battery_power,false,Bluetooth draining battery; won't stay off
84,"@AppleSupport How long will it take for you to ""reach the carrier systems""? If you're holding our reservation, will this delay delivery?",@268323 We have received your DM and will respond there shortly.,purchase_tradein,true,iPhone X reservation hold and delivery delay question
85,I tried phoning @AppleSupport &amp; I didn’t get help. I got an email that I purchased a mobile legend bang bang app for $119 dollars. I didn’t authorize that purchase. What do I do?,@661493 Let's get you pointed in the right direction. You'll want to work directly with our experts in iTunes Store support. You can reach them here:  https://t.co/SDIe7UiyJN,purchase_tradein,true,Unauthorized iTunes purchase of $119; billing dispute
86,"@AppleSupport this keeps happening. 

My WiFi is fine. I have enough iCloud storage. And I reset all settings already. https://t.co/RGlF1WgKmB","@479681 Keeping a current backup is alway a great idea. In your screenshot, you don’t appear to be connect to Wi-Fi. Please connect to Wi-Fi and try to backup again. DM us if the issue persists. https://t.co/GDrqU22YpT",icloud_data,false,iCloud backup failing despite WiFi and storage
87,@116333 this phone locked up and will not let me reset it. If my data is stolen I will sue apple for not letting me reset before return,@615834 Reach out to us in DM and let us know how long you've had this issue. We'll do our best to help you out. https://t.co/GDrqU22YpT,device_access,true,Phone locked and won't reset; data theft concern
88,@AppleSupport ios11 ruined my new iPhone 7’s battery.  lost 15% battery in less than 5 minutes looking at twitter for ideas of solutions,@173187 We'd be happy to review this for you. Are you experiencing this issue on the latest version of iOS 11.0.3?,battery_power,false,
89,@115858 just wants people to buy the iPhone X or 8 😑😑😑😑 my phone has never died this morning quick ever !!!,@706608 We'd be able to troublehsoot any issues you have with your iPhone. DM us and let us know more about the issues you're having. https://t.co/GDrqU22YpT,battery_power,false,Rapid battery drain after iOS update; frustration about upgrade pressure
90,@AppleSupport It’s a screen shot of a someone else’s post on Instagram. But I see this on all social media platforms.,"@717324 Thanks so much for clarifying that for us. This would be normal to still see this issue on other people's posts or messages, especially if they haven't updated to the new iOS yet. Let us know if you have any other questions; we'd be happy to help.",software_update,false,iOS 11 character display issue on social media (not personal issue)
91,@AppleSupport can I update my iMessage apps?,@156798 We're here to assist you. Can you clarify what you are attempting to update that's related to iMessage?,app_service,false,Question about updating iMessage apps
92,"@AppleSupport Also, why do my AirPods suddenly stop playing music after being connected for awhile?","@128113 We'd love to help. Has the device been restarted? If not, let's do that using these steps: https://t.co/OWRDHWSt4h",hardware_device,false,AirPods stop playing music after being connected for a while
93,@AppleSupport my brother needs help with his Apple ID. ASAP hasn’t worked since may. He has a work order # and has received message saying he will receive a call to no avail. Please help!,@717990 Thanks for reaching out. We recommend having your brother visit https://t.co/npJieauGli so he can reset his security credentials and access his account again.,account_security,true,Brother's Apple ID not working since May; work order unresolved
94,@115858 I updated the the new software on my iPhone and ever since my battery keeps draining... I’m only getting about 3 hours of battery..,"@593978 Check out these great tips on maintaining battery health, and DM us if you have any questions: https://t.co/bivpdfBNJ6 https://t.co/GDrqU22YpT",battery_power,false,
95,@AppleSupport care to explain why the latest update has ruined my phone? Can’t hear anybody that I call and my battery vanishes after 4 hours or so. Phone was fine before the update...,"@662356 We’re excited to work together toward a fix. To begin, which iPhone model and iOS 11 version are you using? Additionally, let’s run through each step in this support article for issues with not being able to hear your callers: https://t.co/XlmCP2gCtj",battery_power,false,Battery drain + can't hear callers after update – dual issue; primary is battery/update
96,Really tired of these glitchy @115858 software updates forcing my older iPhones into obsolescence every time they launch a newer device. At least wait a month or two after debuting the X to make such an obvious attempt at forcing me to purchase up 🙄 #YoureNotFoolingAnyone,"@638752 What's the issue that you're having with your iPhone after updating! We'd love to help you get it working again in the way you expect. DM us more details, including which model of iPhone and the exact version of the operating system, and we'll get started. https://t.co/GDrqU22YpT",software_update,false,iOS update forcing older iPhones to obsolescence; glitchy behavior
97,"@AppleSupport Help!!! Keep getting ""activation server is temporarily unavailable"" Trying to set up iPhoneX. Is there another way??",@592264 Thanks for reaching out. Try following these steps and DM us if you still have issues: https://t.co/Mhw9pFAK08 https://t.co/GDrqU22YpT,device_access,true,iPhone X activation server unavailable; can't set up phone
98,"@AppleSupport Hi, are you going to fix the HUGE battery drain issues on iOs 11? I have the latest 11.0.2, iPhone 6 Plus 64 GB. Please fix it",@299227 We want to work with you on your battery issues. DM us using the link below. https://t.co/GDrqU22YpT,battery_power,false,
99,@AppleSupport will turning on background app refresh preserves battery lyf,@252895 You can see some great tips on how to preserve battery here: https://t.co/bivpdfBNJ6,battery_power,false,Question about background app refresh and battery life
100,@AppleSupport it has to do with the activation lock and my apple id password,"@701591 Are you having trouble getting it to accept your password, or do you need to reset it?",device_access,true,Activation lock + Apple ID password issue; access blocked
101,Does anyone else’s texts type slowly after iOS 11.1? @AppleSupport #Apple,@284426 Let's look into this together. DM us which type of iPhone you're using and in which apps this is happening: https://t.co/GDrqU22YpT,software_update,false,Slow text typing after iOS 11.1 update
102,"Took my @115858 iphone in to get the battery replaced. 2 days later, phone is worse. Why? 😡 No appointments available for 3 days!",@543375 Sounds like we may be encountering software and not hardware. Let's work together and isolate the issue. Please join us in DM. https://t.co/GDrqU22YpT,battery_power,true,Battery replaced but phone still worse; no repair appointment available
103,@AppleSupport need support for iPhone (not working).  case: 100327834514  can someone chat or FaceTime me?,@322969 We received your DM. Be on the lookout for our reply.,hardware_device,true,"iPhone not working; customer has case number, wants chat/FaceTime support"
104,@AppleSupport Can Apple stream movies and music on my phone and or apple watch like i do similar to Netflix and or Hulu,@221225 Great question! You can stream any of your purchased songs and videos as long as you have a good internet connection. You can also download any purchased media for offline use with these steps: https://t.co/I39AyMJNgb,app_service,false,Question about streaming movies/music on iPhone and Apple Watch
105,@713 WHY can’t I ever download the updates? I have to re-download the app... Is this a scam? One more and I’ve lost my patience @115858,@444206 That’s not what we’d like to hear. Let us know if these steps help: https://t.co/FgWA1fgP26,app_service,false,App updates failing; re-download required
